³¯¾¾(Æò±Õ±â¿Â),¹°°¡Áö¼ö,¿Ü±¹ÀÎ ÀÔ±¹ÀÚ ¼ö,°æº¹±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(³»±¹ÀÎ,½ÃÃ»·ü,°èÀý,Ã¢°æ±Ã(ÅÂ±×È½¼ö),Ã¢°æ±Ã(¿µ¾îÅÂ±×),Ã¢°æ±Ã(Áß±¹¾îÅÂ±×),Ã¢°æ±Ã(ÀÏº»¾î¾îÅÂ±×),°æº¹±Ã³ªµéÀÌ(ÅÂ±×È½¼ö),°æº¹±Ã(¿µ¾îÅÂ±×),°æº¹±Ã(Áß±¹¾îÅÂ±×),°æº¹±Ã(ÀÏº»¾îÅÂ±×),Ã¢´ö±Ã(ÅÂ±×È½¼ö),Ã¢´ö±Ã(¿µ¾îÅÂ±×),Ã¢´ö±Ã(Áß±¹¾îÅÂ±×),Ã¢´ö±Ã(ÀÏº»¾îÅÂ±×),´ö¼ö±Ã(À§Ä¡·ÎÅÂ±×È½¼ö),´ö¼ö±Ã(¿µ¾îÅÂ±×),´ö¼ö±Ã(Áß±¹¾îÅÂ±×),´ö¼ö±Ã(ÀÏº»¾îÅÂ±×),°æº¹±Ã °ü±¤°´ ¼ö(À¯·á+¹«·á),Ã¢´ö±Ã °ü±¤°´ ¼ö(À¯·á+¹«·á),´ö¼ö±Ã °ü±¤°´ ¼ö(À¯·á+¹«·á),Ã¢°æ±Ã °ü±¤°´ ¼ö(À¯·á+¹«·á)
-4.5,88.974,569453,108353,17156,24939,50161,,,,,,,,,,,,,,,,,,,182876,45097,54909,17904
1.4,89.154,638911,135498,18793,24214,55670,,,,,,,,,,,,,,,,,,,231299,50449,62225,20125
4.3,89.515,769894,108088,16273,26739,43525,,,,,,,,,,,,,,,,,,,211510,62885,52347,17599
9.5,89.875,730265,291250,52019,60357,86282,,,,,,,,,,,,,,,,,,,411312,96201,95097,53766
17.2,89.875,729450,278511,85858,125801,108287,,,,,,,,,,,,,,,,,,,376718,148074,116324,88732
23.4,89.695,718440,140433,36499,68182,66916,,,,,,,,,,,,,,,,,,,226748,97901,74426,38858
25.8,89.965,754672,150143,33201,59590,60751,,,,,,,,,,,,,,,,,,,247937,86131,68044,35979
26.5,90.416,833693,363616,34309,74810,84687,,,,,,,,,,,,,,,,,,,457097,102153,94486,36937
21.8,91.227,764693,334525,39609,76387,97930,,,,,,,,,,,,,,,,,,,416173,106508,108218,41961
14.5,91.227,872550,386753,81234,148888,140800,,,,,,,,,,,,,,,,,,,493521,187310,155101,83891
6.5,90.777,738271,280026,54474,111184,130243,,,,,,,,,,,,,,,,,,,361957,129865,141566,55771
-1.3,91.047,677366,139177,20796,43656,67724,,,,,,,,,,,,,,,,,,,202536,59823,75573,21830
-7.2,92.039,586152,100959,16947,29540,86392,,,,,,,,,,,,,,,,,,,141183,43677,92135,17644
1.2,92.58,667089,185908,34794,55216,124651,,,,,,,,,,,,,,,,,,,230814,73330,132920,35708
3.6,92.94,781286,155110,28192,49956,54558,,,,,,,,,,,,,,,,,,,228276,78705,64869,29856
10.7,93.03,754458,259396,68414,95599,73511,,,,,,,,,,,,,,,,,,,349368,129150,85548,70101
17.9,93.211,743464,358028,76145,118155,91136,,,,,,,,,,,,,,,,,,,438567,151833,103100,78017
22,93.391,795850,182065,38096,73380,70940,,,,,,,,,,,,,,,,,,,252185,108262,81489,40319
24.6,93.842,881809,134040,28918,58025,70372,,,,,,,,,,,,,,,,,,,275074,91527,81544,31333
25.8,94.473,977296,216935,45600,95072,101686,,,,,,,,,,,,,,,,,,,386264,134374,116552,48915
21.8,94.382,906813,285678,56094,96450,114891,,,,,,,,,,,,,,,,,,,437683,143467,128343,58076
14.2,94.292,988320,353990,94879,169319,118898,,,,,,,,,,,,,,,,,,,518742,222484,137870,97869
10.7,94.292,869876,178017,58228,98153,91422,,,,,,,,,,,,,,,,,,,304318,160836,107467,61697
-0.9,94.563,842383,104931,18134,31269,38205,,,,,,,,,,,,,,,,,,,237330,75991,52140,21267
-2.8,95.086,753793,114505,17458,31760,40041,,,,,,,,,,,,,,,,,,,223815,63970,54074,19753
-2,95.482,810967,169684,20267,37326,36900,,,,,,,,,,,,,,,,,,,248905,71090,48464,22898
5.1,95.608,916357,233028,30747,50573,40244,,,,,,,,,,,,,,,,,,,333028,100891,51919,34608
12.3,95.644,967593,336257,75936,101738,66246,,,,,,,,,,,,,,,,,,,470534,163656,83249,80489
19.7,95.744,942602,481103,80267,133635,89515,,,,,,,,,,,,,,,,,,,599039,199432,106767,84384
24.1,95.644,946333,224854,47308,76116,69169,,,,,,,,,,,,,,,,,,,337485,133129,84226,50627
25.4,95.59,1009225,193169,26241,48983,48718,,,,,,,,,,,,,,,,,,,331270,99199,64627,29591
27.1,96.158,1103311,202572,26882,52876,57461,,,,,,,,,,,,,,,,,,,371284,105672,71542,30447
21,96.807,986961,296957,42107,76660,82347,,,,,,,,,,,,,,,,,,,403369,129435,94058,44843
15.3,96.564,1025705,520733,125906,144268,143940,,,,,,,,,,,,,,,,,,,659265,201617,158452,129914
5.5,96.185,842189,192476,52830,89575,97241,,,,,,,,,,,,,,,,,,,305795,135002,111032,56578
-4.1,96.384,834992,133012,15722,28061,44885,,,,,,,,,,,,,,,,,,,238382,55875,56036,17173
-3.4,96.907,753655,105724,17562,30490,46980,,,,,,,,,,,,,,,,,,,187908,52743,54535,18882
-1.2,97.177,815037,140253,20990,36905,46825,,,,,,,,,,,,,,,,,,,233250,61764,58331,22340
5.1,97.087,1010809,179912,36389,54054,77718,,,,,,,,,,,,,,,,,,,299705,98042,89820,39489
10,97.069,972164,276043,62810,101508,96402,,,,,,,,,,,,,,,,,,,406125,142315,108914,65712
18.2,97.069,919355,522279,119635,132160,103001,,,,,,,,,,,,,,,,,,,604858,166056,113536,121739
24.4,96.925,1059082,208081,50889,83137,63520,,,,,,,,,,,,,,,,,,,323084,120678,73660,52770
25.5,97.114,1205152,203074,24995,48657,48941,,,,,,,,,,,,,,,,,,,365438,80118,62485,26666
27.7,97.465,1358909,255664,33110,68571,65233,,,,,,,,,,,,,,,,,,,461357,108611,78063,36109
21.8,97.691,1156913,320165,56914,97864,97658,,,,,,,,,,,,,,,,,,,464850,137256,111427,59141
15.8,97.438,1087974,373095,103908,144549,123934,,,,,,,,,,,,,,,,,,,480814,195931,137071,108349
6.2,97.429,907901,211840,60978,107904,166366,,,,,,,,,,,,,,,,,,,313781,147652,179792,64176
-0.2,97.574,928599,145027,20035,38553,99301,,,,,,,,,,,,,,,,,,,246969,64103,112583,22021
